        NoDur  Durbl  Manuf  Enrgy  Chems  BusEq  Telcm  Utils  Shops  Hlth   Money  Other
197109  -0.07  -0.07  -0.66  -1.64   0.61  -1.56   0.23  -1.50   0.73   0.66  -0.28  -0.58
197110  -4.32  -5.20  -6.52  -4.28  -4.70  -4.32  -1.74   2.05  -3.44  -2.50  -2.30  -6.29
197111  -0.35   0.33  -1.02   0.06  -0.91   1.84   0.38  -1.21   0.24   0.58   1.17  -1.83
197112  10.53   6.13  10.88   8.84   7.28  11.21   7.36   8.10  10.16   7.90   5.85  10.92
197201   2.50   3.23   3.06   0.16   3.70   8.41   0.94  -0.30   0.44   2.60   0.77   6.19
197202   4.64   0.84   5.10   2.61   4.84   1.72   0.16  -2.50   5.65   7.13   0.02   4.59
197203   0.09   4.23   2.65  -5.46   2.14   1.03  -0.32  -0.15   1.98   0.46   5.19  -0.54
197204   1.92  -0.53   1.96  -0.69   1.99   0.76  -1.05  -2.81  -0.56   1.08   2.59   1.00
197205   0.41  -1.00   1.63   3.65   2.65   3.75   1.19  -0.17   1.58   3.52  -1.88   0.71
197206  -1.14  -2.88  -1.81  -0.91  -3.43  -2.55  -2.74  -1.55  -4.03   2.51  -3.82  -5.27
197207  -1.58  -2.13   0.26  -1.07   1.10   0.98   0.75   0.04  -2.46   3.13  -1.07  -5.06
197208  -0.11   3.78   1.26  12.38   4.98   2.89   5.16   5.96  -0.41   1.05   6.09   0.67
197209  -2.62  -0.89  -0.86  -0.24  -2.18  -1.13   4.31   0.19  -0.50  -0.44  -0.20  -3.63
197210   0.00  -2.44   0.69   3.10   2.22  -3.34   2.30   6.75   0.88   1.51   1.64   0.48
197211   6.88   7.93   4.26   6.19   3.93   2.53   7.10   6.40   6.02  -0.56   4.71   5.70
197212   0.53   1.64   0.29   1.05   2.54   2.01   1.45  -1.54   1.73   3.74  -0.78  -0.64
197301  -4.75  -6.70  -4.15   5.03  -2.62   2.11  -2.12  -4.28  -4.09  -1.19  -7.50  -7.37
197302  -4.36  -5.85  -2.78  -7.35  -1.08  -2.99  -4.62  -1.97  -6.45  -0.71  -6.12  -5.98
197303  -1.06  -2.82  -0.31   3.05  -0.07  -1.15   0.54  -2.15  -5.64   0.78  -0.38  -0.10
197304  -6.19  -5.19  -4.97  -0.98  -3.33  -6.48   0.88  -0.60  -8.50  -5.49  -8.00  -7.42
197305  -2.12  -4.19  -0.83  -3.53  -1.81  -2.66  -0.82   0.36  -2.21   1.07  -3.24  -7.20
197306  -3.43  -2.53  -0.18   1.63  -0.71  -0.09  -0.32  -2.49  -5.75   0.00   2.53  -3.96
197307   7.44   7.27   6.72   0.30   6.49   4.84  -0.32  -2.39  11.16   6.87   9.03  10.15
197308  -3.33  -3.95  -0.41  -3.79  -4.04  -3.76  -3.91  -2.10  -4.16  -6.89  -2.32  -2.29
197309   5.90   7.81   4.42   9.21   5.18  -3.17   7.65   7.90   7.20   0.78   7.37   7.10
197310  -2.25  -4.34   0.33   5.17   0.45   4.19  -5.54  -3.39  -3.66   1.83  -1.78  -0.21
197311 -14.31 -16.10 -13.93  -6.19 -15.01 -11.42  -1.90 -11.60 -18.92  -7.75 -12.35 -14.58
197312  -1.55  -3.76   1.70   8.67   0.24  -4.44   4.55   3.42  -0.22  -4.47   2.16   2.82
197401   2.43   6.09   0.41  -7.46   0.57   1.10   2.00   4.55   6.71  -2.56   0.30   2.04
197402   0.07  -1.08   0.21  -1.55  -0.42  -0.66   4.75   0.29   0.80  -1.23   0.59   1.44
197403  -1.89  -0.09  -1.75  -3.24   1.77  -2.69  -4.59  -3.64  -3.12   1.22  -4.12  -3.13
197404  -3.69  -4.09  -2.89  -6.31   0.13  -3.62  -5.31 -12.19  -1.97  -1.48  -6.84  -5.91
197405  -2.88   0.42  -4.23  -7.47   1.28  -3.89  -1.52  -4.90   1.21  -0.11 -10.08  -6.83
197406  -0.56  -2.63  -1.01  -0.30   0.91  -2.91   0.30  -6.18  -2.72  -1.61  -6.81  -4.27
197407 -10.15 -11.86  -7.36  -0.52  -6.75  -8.22  -7.63   0.77 -12.81 -14.15  -7.20  -6.03
197408 -10.16  -6.62  -9.51  -8.56 -11.60  -4.71  -0.01  -8.62 -13.05  -8.04 -11.75  -9.56
197409 -12.18 -12.92 -13.41  -7.95 -11.58 -16.97  -3.80  -1.31 -12.28 -15.56  -7.12 -11.95
197410  15.66   4.48  14.23  20.78  20.19  14.71  10.85  13.01  10.01  29.58  21.01  19.37
197411  -3.85  -4.69  -5.50  -4.24  -6.67  -5.06  -3.09  -0.13  -5.74  -1.22  -2.11  -3.44
197412  -0.56  -4.08  -5.01   0.83  -3.25  -5.22   1.57  -0.81  -3.36  -3.32  -2.68  -6.05
197501  18.71  21.50  16.24   6.77  10.93  15.20  11.09  18.80  25.92  -0.74  17.27  18.54
197502   4.04   4.93   7.90   2.26   8.23  13.21   5.16   0.90   5.16  16.04   0.27   5.61
197503   7.14   6.62   5.20  -2.32   4.65   1.02  -0.86  -1.32  10.76   1.29   2.53   5.70
197504   3.01   4.12   8.59   7.25  11.61   5.61  -0.96  -1.61   2.59   0.65   1.34   5.09
197505   5.22   2.57   3.04  12.35   2.10   6.06   3.52   8.52   4.00   6.52   6.40   5.10
197506   5.25  10.23   3.72   6.25   3.43   2.05   4.04  10.71   7.45   0.95   6.35   5.61
197507  -5.38  -2.03  -6.07  -4.24  -5.58  -9.46  -4.21  -4.78  -7.46 -12.03  -7.33  -5.02
197508  -3.14  -3.47  -0.90  -0.89  -0.72  -2.86  -3.56  -1.24  -0.39  -3.32  -6.14  -4.24
197509  -2.44  -2.46  -5.18  -1.16  -7.09  -0.80  -1.26  -0.99  -3.49  -6.53  -7.51  -5.19
197510  10.59   8.82   4.83  -1.33   7.51   8.50   6.82   6.58   9.92  10.68   5.03   2.91
197511   4.09   3.35   3.06  -1.64   2.98   5.03   4.26   3.15   4.66   5.13   4.85   2.40
197512  -1.51  -0.44  -1.07   0.09  -1.92  -1.20  -0.11   1.34  -3.04  -6.36  -0.43  -0.11
197601  10.92  15.62  17.28   8.46  16.06  18.15   9.49   8.30   8.98   7.73  12.21  13.66
197602  -1.07   3.88   2.42  -3.11   0.29   1.08   3.57  -3.52   4.68  -6.53   1.91   4.24
197603   0.73   3.53   2.27   7.22  -1.46   3.05   0.58   1.44   3.46   6.53   3.26   0.82
197604  -1.67   1.84  -1.81   2.15  -0.49  -3.47   1.72   0.63  -4.67  -4.30  -2.62  -0.58
197605  -2.15  -3.11  -0.81   5.51  -2.14   0.49  -2.94  -1.46  -5.77  -2.81  -2.17  -1.31
